episode,image_key,num_frames,num_pairs,mean_motion_px,rms_motion_px,mean_jitter_px,rms_jitter_px,p95_jitter_px,max_jitter_px,mean_response,plot_path
/home/eunseop/nrs_act/datasets/ACT/20260428_1131/episodes_ft/episode_0.hdf5,/observations/images/cam0,1377,1376,0.185804,0.269268,0.054642,0.088760,0.179578,0.953564,0.972603,/home/eunseop/nrs_act/analysis_logs/camera_jitter/20260428_1131_episodes_ft/episode_0_rgb_jitter.png
/home/eunseop/nrs_act/datasets/ACT/20260428_1131/episodes_ft/episode_1.hdf5,/observations/images/cam0,1377,1376,0.204061,0.290931,0.054206,0.091352,0.190117,0.613930,0.977039,/home/eunseop/nrs_act/analysis_logs/camera_jitter/20260428_1131_episodes_ft/episode_1_rgb_jitter.png
/home/eunseop/nrs_act/datasets/ACT/20260428_1131/episodes_ft/episode_2.hdf5,/observations/images/cam0,1377,1376,0.147888,0.235470,0.055731,0.103453,0.191494,0.958981,0.976752,/home/eunseop/nrs_act/analysis_logs/camera_jitter/20260428_1131_episodes_ft/episode_2_rgb_jitter.png
/home/eunseop/nrs_act/datasets/ACT/20260428_1131/episodes_ft/episode_3.hdf5,/observations/images/cam0,1377,1376,0.160738,0.239181,0.043170,0.075868,0.140487,0.701663,0.981612,/home/eunseop/nrs_act/analysis_logs/camera_jitter/20260428_1131_episodes_ft/episode_3_rgb_jitter.png
/home/eunseop/nrs_act/datasets/ACT/20260428_1131/episodes_ft/episode_4.hdf5,/observations/images/cam0,1377,1376,0.151811,0.222118,0.047779,0.080156,0.158160,0.468255,0.975641,/home/eunseop/nrs_act/analysis_logs/camera_jitter/20260428_1131_episodes_ft/episode_4_rgb_jitter.png
/home/eunseop/nrs_act/datasets/ACT/20260428_1131/episodes_ft/episode_5.hdf5,/observations/images/cam0,1377,1376,0.185715,0.263753,0.054616,0.105524,0.171333,1.513785,0.976035,/home/eunseop/nrs_act/analysis_logs/camera_jitter/20260428_1131_episodes_ft/episode_5_rgb_jitter.png
/home/eunseop/nrs_act/datasets/ACT/20260428_1131/episodes_ft/episode_6.hdf5,/observations/images/cam0,1377,1376,0.187429,0.262248,0.052383,0.085187,0.169835,0.593858,0.975055,/home/eunseop/nrs_act/analysis_logs/camera_jitter/20260428_1131_episodes_ft/episode_6_rgb_jitter.png
/home/eunseop/nrs_act/datasets/ACT/20260428_1131/episodes_ft/episode_7.hdf5,/observations/images/cam0,1377,1376,0.178050,0.252269,0.055011,0.099899,0.199317,0.989247,0.975486,/home/eunseop/nrs_act/analysis_logs/camera_jitter/20260428_1131_episodes_ft/episode_7_rgb_jitter.png
/home/eunseop/nrs_act/datasets/ACT/20260428_1131/episodes_ft/episode_8.hdf5,/observations/images/cam0,1377,1376,0.155974,0.237718,0.047848,0.089628,0.152820,0.818617,0.977790,/home/eunseop/nrs_act/analysis_logs/camera_jitter/20260428_1131_episodes_ft/episode_8_rgb_jitter.png
/home/eunseop/nrs_act/datasets/ACT/20260428_1131/episodes_ft/episode_9.hdf5,/observations/images/cam0,1377,1376,0.161145,0.245955,0.048750,0.087441,0.166328,0.757657,0.976612,/home/eunseop/nrs_act/analysis_logs/camera_jitter/20260428_1131_episodes_ft/episode_9_rgb_jitter.png
